,batch_size,max_epochs,learning_rate,memory_size,model
0,128,5,0.01,6000,lenet5.py
1,128,5,0.01,6000,bi-rnn.py
2,128,5,0.01,12000,lenet5.py
3,128,5,0.01,12000,bi-rnn.py
4,128,5,0.005,6000,lenet5.py
5,128,5,0.005,6000,bi-rnn.py
6,128,5,0.005,12000,lenet5.py
7,128,5,0.005,12000,bi-rnn.py
8,128,10,0.01,6000,lenet5.py
9,128,10,0.01,6000,bi-rnn.py
10,128,10,0.01,12000,lenet5.py
11,128,10,0.01,12000,bi-rnn.py
12,128,10,0.005,6000,lenet5.py
13,128,10,0.005,6000,bi-rnn.py
14,128,10,0.005,12000,lenet5.py
15,128,10,0.005,12000,bi-rnn.py
16,256,5,0.01,6000,lenet5.py
17,256,5,0.01,6000,bi-rnn.py
18,256,5,0.01,12000,lenet5.py
19,256,5,0.01,12000,bi-rnn.py
20,256,5,0.005,6000,lenet5.py
21,256,5,0.005,6000,bi-rnn.py
22,256,5,0.005,12000,lenet5.py
23,256,5,0.005,12000,bi-rnn.py
24,256,10,0.01,6000,lenet5.py
25,256,10,0.01,6000,bi-rnn.py
26,256,10,0.01,12000,lenet5.py
27,256,10,0.01,12000,bi-rnn.py
28,256,10,0.005,6000,lenet5.py
29,256,10,0.005,6000,bi-rnn.py
30,256,10,0.005,12000,lenet5.py
31,256,10,0.005,12000,bi-rnn.py
32,128,5,0.01,6000,lenet5.py
33,128,5,0.01,6000,bi-rnn.py
34,128,5,0.01,12000,lenet5.py
35,128,5,0.01,12000,bi-rnn.py
36,128,5,0.005,6000,lenet5.py
37,128,5,0.005,6000,bi-rnn.py
38,128,5,0.005,12000,lenet5.py
39,128,5,0.005,12000,bi-rnn.py
40,128,10,0.01,6000,lenet5.py
41,128,10,0.01,6000,bi-rnn.py
42,128,10,0.01,12000,lenet5.py
43,128,10,0.01,12000,bi-rnn.py
44,128,10,0.005,6000,lenet5.py
45,128,10,0.005,6000,bi-rnn.py
46,128,10,0.005,12000,lenet5.py
47,128,10,0.005,12000,bi-rnn.py
48,256,5,0.01,6000,lenet5.py
49,256,5,0.01,6000,bi-rnn.py
50,256,5,0.01,12000,lenet5.py
51,256,5,0.01,12000,bi-rnn.py
52,256,5,0.005,6000,lenet5.py
53,256,5,0.005,6000,bi-rnn.py
54,256,5,0.005,12000,lenet5.py
55,256,5,0.005,12000,bi-rnn.py
56,256,10,0.01,6000,lenet5.py
57,256,10,0.01,6000,bi-rnn.py
58,256,10,0.01,12000,lenet5.py
59,256,10,0.01,12000,bi-rnn.py
60,256,10,0.005,6000,lenet5.py
61,256,10,0.005,6000,bi-rnn.py
62,256,10,0.005,12000,lenet5.py
63,256,10,0.005,12000,bi-rnn.py
