Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
0,standard,128,5,0.01,6000,lenet5.py,0.9118,146688.797603
1,standard,128,5,0.01,6000,bi-rnn.py,0.3694,232353.949745
2,standard,128,5,0.01,12000,lenet5.py,0.9243,149889.110119
3,standard,128,5,0.01,12000,bi-rnn.py,0.3346,233542.081542
4,standard,128,5,0.005,6000,lenet5.py,0.8744,150328.16245
5,standard,128,5,0.005,6000,bi-rnn.py,0.1823,235876.618542
6,standard,128,5,0.005,12000,lenet5.py,0.8895,148356.74928
7,standard,128,5,0.005,12000,bi-rnn.py,0.187,239545.849738
8,standard,128,10,0.01,6000,lenet5.py,0.9488,274057.645573
9,standard,128,10,0.01,6000,bi-rnn.py,0.4811,446762.260547
10,standard,128,10,0.01,12000,lenet5.py,0.9485,271621.659598
11,standard,128,10,0.01,12000,bi-rnn.py,0.469,450869.809411
12,standard,128,10,0.005,6000,lenet5.py,0.9217,272651.481295
13,standard,128,10,0.005,6000,bi-rnn.py,0.2829,442669.938526
14,standard,128,10,0.005,12000,lenet5.py,0.9195,271578.48266
15,standard,128,10,0.005,12000,bi-rnn.py,0.302,444472.714031
16,standard,128,20,0.01,6000,lenet5.py,0.9581,530781.844851
17,standard,128,20,0.01,6000,bi-rnn.py,0.6701,884054.183743
18,standard,128,20,0.01,12000,lenet5.py,0.959,533839.136942
19,standard,128,20,0.01,12000,bi-rnn.py,0.7118,881718.386566
20,standard,128,20,0.005,6000,lenet5.py,0.9366,521120.548726
21,standard,128,20,0.005,6000,bi-rnn.py,0.3948,894497.070549
22,standard,128,20,0.005,12000,lenet5.py,0.9375,531903.994666
23,standard,128,20,0.005,12000,bi-rnn.py,0.3864,900063.047842
24,standard,256,5,0.01,6000,lenet5.py,0.8919,90509.771093
25,standard,256,5,0.01,6000,bi-rnn.py,0.1865,162270.506175
26,standard,256,5,0.01,12000,lenet5.py,0.8972,89192.465216
